,type,id,tags,geometry
135,node,1283630896,"{'camera:direction': '330', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'shop'}",POINT (8.3237243 47.4669649)
136,node,1283630954,"{'camera:direction': '320', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.3230706 47.4672689)
137,node,1285470360,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.1804971 47.3927862)
138,node,1296522408,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (7.4146777 46.9358397)
139,node,1296522486,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (7.4146634 46.9358071)
140,node,1297076268,"{'man_made': 'surveillance', 'name': 'Webcam Dorf', 'website': 'https://www.rhone.ch/brunnere/webcamdorf.htm'}",POINT (7.8001909 46.2859139)
141,node,1297079362,"{'man_made': 'surveillance', 'name': 'Webcam Seefeld', 'website': 'https://www.rhone.ch/brunnere/webcamginals2.htm'}",POINT (7.7737689 46.2382921)
142,node,1297079367,"{'man_made': 'surveillance', 'name': 'Webcam Brandalp', 'website': 'http://www.rhone-web.ch/brunnere/webcambrand.htm'}",POINT (7.797638 46.274793)
143,node,1297079372,"{'man_made': 'surveillance', 'name': 'Webcam Ginals', 'website': 'https://www.rhone.ch/brunnere/webcamginals.htm'}",POINT (7.7763324 46.2536617)
144,node,1309055538,"{'man_made': 'surveillance', 'name': 'Webcam Hotel Delphin', 'website': 'http://cam.hotel-delphin.ch/cgi-bin/faststream.jpg?stream=full&fps=0.2&rand=379515'}",POINT (8.2203698 47.296629)
145,node,1336683546,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (7.4440477 46.9473745)
146,node,1336707934,"{'camera:direction': '130', 'camera:mount': 'wall', 'camera:type': 'fixed', 'height': '4', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.3089152 47.4785732)
147,node,1345879709,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7215718 47.4136118)
148,node,1348743821,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7197133 47.4131729)
149,node,1348743996,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7198881 47.4130533)
150,node,1350936454,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.713488 47.4124243)
151,node,1350936460,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7136215 47.412556)
152,node,1353672258,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6816499 47.4195967)
153,node,1354257012,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6870214 47.4264669)
154,node,1354257014,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6869131 47.4264955)
155,node,1355467067,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5439278 47.3788712)
156,node,1355467258,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5433885 47.3825341)
157,node,1355467264,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5433786 47.3825713)
158,node,1357044680,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7212588 47.4109022)
159,node,1357044685,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7211329 47.4109098)
160,node,1357158523,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5383372 47.3767687)
161,node,1357158530,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5383426 47.376837)
162,node,1357158636,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5435959 47.3818086)
163,node,1357158640,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5434653 47.3825472)
164,node,1357158641,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5431402 47.3825814)
165,node,1357158644,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5433363 47.3826129)
166,node,1364440353,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7215375 47.4134793)
167,node,1369531373,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6939192 47.383188)
168,node,1371595231,"{'camera:direction': '45', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",POINT (8.5310835 47.3839733)
169,node,1372489009,"{'camera:direction': '210', 'camera:mount': 'street_lamp', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:zone': 'traffic'}",POINT (8.5291633 47.3818265)
170,node,1372489033,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5283393 47.3821481)
171,node,1378106730,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7140255 47.3876227)
172,node,1381118306,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6807199 47.4058991)
173,node,1381118312,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6806158 47.4059756)
174,node,1383338642,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6717793 47.3989673)
175,node,1391768037,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7451824 47.3882005)
176,node,1391768038,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7447552 47.3882655)
